Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
,,FAROLES,2.0,0.0,2300.0,0.0,,,,0.0,
,,FELPA DETALLE,10.0,0.0,750.0,0.0,,,,0.0,
,,FELPA FLOR 1,14.0,0.0,950.0,0.0,,,,0.0,
,,FELPA FLOR 2,0.0,0.0,750.0,0.0,,,,0.0,
FELPA LAZO,,FELPA LAZO 1,0.0,173.0,750.0,0.0,,,,173.0,
,,FELPA LAZO 2,0.0,0.0,850.0,0.0,,,,0.0,
FELPA LAZO 2,,FELPA LAZO 3,0.0,238.0,900.0,0.0,,,,238.0,
,,FELPA LAZO 4,0.0,0.0,1500.0,0.0,,,,0.0,
,,FELPA MUÑE,0.0,0.0,650.0,0.0,,,,0.0,
,,FELPA OSITO,0.0,0.0,400.0,0.0,,,,0.0,
FELPA PAR,,FELPA PAR,0.0,100.0,350.0,0.0,,,,100.0,
,,FELPA PERLA,0.0,0.0,550.0,0.0,,,,0.0,
,,FELPA SCRUNCH 1,0.0,0.0,350.0,0.0,,,,0.0,
,,FELPA SCRUNCH 2,0.0,0.0,450.0,0.0,,,,0.0,
,,FELPA SCRUNCH 3,0.0,0.0,500.0,0.0,,,,0.0,
,,FELPA SCRUNCH 4,0.0,0.0,650.0,0.0,,,,0.0,
FELPA TRÍO,,FELPA TRÍO,0.0,116.0,450.0,0.0,,,,116.0,
FELPAS CHICAS,,FELPAS CHICAS,0.0,55.0,400.0,0.0,,,,55.0,
FELPAS CHICAS PAR,,FELPAS CHICAS PAR,0.0,152.0,700.0,0.0,,,,152.0,
,,FELPAS DETALLE,0.0,0.0,600.0,0.0,,,,0.0,
FELPAS DONA,,FELPAS DONA,0.0,110.0,400.0,0.0,,,,110.0,
,,FELPAS DORADAS,0.0,0.0,550.0,0.0,,,,0.0,
,,FELPAS PLATEADAS,0.0,0.0,550.0,0.0,,,,0.0,
,,FIGURA HARRY POTTER,0.0,0.0,5300.0,0.0,,,,0.0,
,,FIGURA KITTY,1.0,0.0,2500.0,0.0,,,,0.0,
FIGURA MANGA CHICA,,FIGURA MANGA CHICA,16.0,684.0,3500.0,0.0,,,,684.0,
FIGURA MANGA 2,,FIGURA MANGA GRANDE,1.0,580.0,4500.0,0.0,,,,580.0,
FIGURA MARIO CHICA,,FIGURA MARIO CHICA,0.0,950.0,3500.0,0.0,,,,950.0,
FIGURA MARIO GRANDE,,FIGURA MARIO GRANDE,0.0,1042.0,5300.0,0.0,,,,1042.0,
,,FIGURA MARVEL MED,0.0,0.0,4500.0,0.0,,,,0.0,
FIGURA NARUTO CHICO,,FIGURA NARUTO CHICO,0.0,497.0,2350.0,0.0,,,,497.0,
,,FIGURA NAV,0.0,0.0,950.0,0.0,,,,0.0,
,,FIGURA REBAJA,0.0,0.0,1500.0,0.0,,,,0.0,
,,FIGURAS EMOCIONES,0.0,0.0,2500.0,0.0,,,,0.0,
FINISH,,FINISH,6.0,362.0,1500.0,0.0,,,,362.0,
,,FORRO ASIENTO MOTO,1.0,0.0,4500.0,0.0,,,,0.0,
FUNKO CHICO,,FUNKO CHICO,0.0,340.0,1500.0,0.0,,,,340.0,
,,FUNKOS GRANDES,0.0,0.0,2000.0,0.0,,,,0.0,
GAFAS ADULTO,,GAFAS ADULTO,0.0,489.0,2500.0,0.0,,,,489.0,
,,GAFAS FASHION,0.0,0.0,3800.0,0.0,,,,0.0,
,,GAFAS HALLOWEEN,5.0,0.0,500.0,0.0,,,,0.0,
GAFAS NIÑO,,GAFAS NIÑO,0.0,296.0,1500.0,1.0,,,,296.0,
,,GANCHO COCINA,0.0,0.0,850.0,0.0,,,,0.0,
GANCHO PELO 1,,GANCHO PELO 1,11.0,65.0,450.0,0.0,,,,65.0,
,,GANCHO PELO 2,0.0,0.0,600.0,0.0,,,,0.0,
GEL FACIAL,,GEL FACIAL,0.0,240.0,850.0,0.0,,,,240.0,
GIRASOLES,,GIRASOLES,0.0,1000.0,2000.0,0.0,,,,1000.0,
GLOBO 1,,GLOBO 1,0.0,38.0,200.0,0.0,,,,38.0,
GLOBO DE NÚMERO,,GLOBO DE NÚMERO,0.0,200.0,450.0,0.0,,,,200.0,
GLOBO DETALLE,,GLOBO DETALLE,0.0,105.0,600.0,0.0,,,,105.0,
GLOBO INFLABLE,,GLOBO INFLABLE,0.0,515.0,1800.0,0.0,,,,515.0,
GLOBO MINI,,GLOBO MINI,0.0,50.0,300.0,0.0,,,,50.0,
,,GLOBO NAV,0.0,0.0,350.0,0.0,,,,0.0,
GOKU 3,,GOKU 3,0.0,1140.0,4000.0,0.0,,,,1140.0,
GOKU 1,,GOKU CHICO,0.0,710.0,2500.0,0.0,,,,710.0,
GOKU 2,,GOKU MED,0.0,900.0,3500.0,0.0,,,,900.0,
,,GOMA LOCA,0.0,0.0,150.0,0.0,,,,0.0,
,,GOMA LOCA 2,42.0,0.0,200.0,0.0,,,,0.0,
GOMA PESTAÑA,,GOMA PESTAÑA,36.0,148.0,600.0,1.0,,,,148.0,
GORRA DE H,,GORRA DE H,17.0,889.0,4000.0,1.0,,,,889.0,
GORRA DE NIÑO,,GORRA DE NIÑO,0.0,778.0,2800.0,1.0,,,,778.0,
,,GORRAS H 2,0.0,0.0,3500.0,0.0,,,,0.0,
,,GORRO ZATIN,0.0,0.0,1700.0,0.0,,,,0.0,
GRADUADOS,,GRADUADOS,131.0,623.0,3000.0,0.0,,,,623.0,
GRU,,GRU,0.0,10500.0,34000.0,0.0,,,,10500.0,
