Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
CREYON HOLLOWEEN,,CREYON HOLLOWEEN,0.0,0.0,550.0,0.0,,,,0.0,
,,CREYON PERM,5.0,0.0,1200.0,0.0,,,,0.0,
CREYON PERM 1,,CREYON PERM 1,35.0,0.0,700.0,0.0,,,,0.0,
CREYON PERM 3,,CREYON PERM 3,1.0,153.0,800.0,0.0,,,,153.41,
,,CREYON PERM DIOR,4.0,0.0,1500.0,0.0,,,,0.0,
CREYON PERM DOBLE,,CREYON PERM DOBLE,14.0,0.0,950.0,1.0,,,,0.0,
CREYON PERMANENTE,,CREYON PERMANENTE,7.0,0.0,550.0,3.0,,,,0.0,
,,CREYON PERMANENTE DIOR,10.0,0.0,1200.0,0.0,,,,0.0,
CREYON REBAJA,,CREYON REBAJA,5.0,0.0,150.0,0.0,,,,0.0,
,,CUADRITO DIAMANTE,0.0,0.0,1500.0,0.0,,,,0.0,
,,CUBITOS,0.0,0.0,800.0,0.0,,,,0.0,
CUBO RUBI,,CUBO RUBI,8.0,0.0,3500.0,1.0,,,,0.0,
CUCHILLOS,,CUCHILLOS,0.0,0.0,600.0,1.0,,,,0.0,
CÁPSULA FACIAL,,CÁPSULA FACIAL,4.0,0.0,2300.0,0.0,,,,0.0,
DELINEADOR 1,,DELINEADOR 1,0.0,0.0,450.0,1.0,,,,0.0,
DELINEADOR 2,,DELINEADOR 2,12.0,70.0,650.0,1.0,,,,70.0,
,,DELINEADOR LABIOS,0.0,0.0,400.0,0.0,,,,0.0,
DELINEADOR PLUMÓN,,DELINEADOR PLUMÓN,17.0,0.0,850.0,2.0,,,,0.0,
DEMON,,DEMON,0.0,0.0,4200.0,0.0,,,,0.0,
DIJES,,DIJES,0.0,0.0,850.0,1.0,,,,0.0,
DUENDE NAV,,DUENDE NAV,0.0,0.0,6300.0,0.0,,,,0.0,
,,ENCENDEDORES,0.0,0.0,350.0,0.0,,,,0.0,
ESCLAVA,,ESCLAVA,13.0,0.0,2000.0,0.0,,,,0.0,
ESCOBAS,,ESCOBAS,0.0,0.0,950.0,1.0,,,,0.0,
,,ESPEJUELOS TRANSPARENTES,12.0,0.0,2500.0,0.0,,,,0.0,
ESPONJA ALUMINIO,,ESPONJA ALUMINIO,3.0,0.0,250.0,0.0,,,,0.0,
